sym,side,open,close,p0,p_exit,vwap_entry,peak,bal0,size_pct,build_s,dur,open_fills,close_fills,adds,adds_worse,pre5,pre30,mae,mfe,pnl,fee,net,ret,day_pnl_before,prev_same_net,prev_same_gap,hour,date
LAB-USDT-SWAP,long,2026-07-05 18:57:09,2026-07-05 19:02:09,15.819,15.775,31.504,283.536,2879.52831635,9.846612668820752,216.0,5.0,9,28,8,4,,,-0.84708262216322,0.0,2.21999972,-1.3011525000000002,0.91884722,0.3240672154505953,0.0,,,18,2026-07-05
LAB-USDT-SWAP,short,2026-07-05 19:03:37,2026-07-05 19:04:52,15.816,15.856,31.773680000000006,317.7368,2880.44716385,11.030815075785442,34.0,1.25,12,12,11,7,0.8351928594198199,-0.01896453631708983,-0.8978249873545785,-0.0,3.2889999999999997,-1.3640339000000001,1.9249660999999996,0.6058366862132429,0.9188472200000002,0.91884722,1.4666666666666666,19,2026-07-05
HMSTR-USDT-SWAP,short,2026-07-05 23:03:36,2026-07-05 23:06:31,0.000349,0.0003485,0.006980000000000001,143.7531,2882.3721299500003,4.987319246751586,0.0,2.9166666666666665,3,19,2,0,,,-0.0,0.17191977077364307,1.04767,-0.5184636199999999,0.5292063800000002,0.36813562977076686,2.8438133199999993,,,23,2026-07-05
CAP-USDT-SWAP,short,2026-07-05 23:32:36,2026-07-05 23:36:31,0.02528,0.02537,0.5091308771929826,290.2046,2882.90133636,10.066407626922718,100.0,3.9166666666666665,10,17,9,4,,,-1.4240506329114,0.039556962025311115,5.567999909999999,-1.4451622000000004,4.122837709999999,1.4206658715954188,3.3730196999999995,,,23,2026-07-05
SPACE-USDT-SWAP,long,2026-07-06 00:02:16,2026-07-06 00:02:32,0.006422,0.006446,0.21406666666048238,115.38193333,2887.02417415,3.9965696984151804,0.0,0.26666666666666666,3,37,2,0,,,0.0,0.43600124571785415,1.3902,-0.2799878800000001,1.11021212,0.9622062033097672,0.0,,,0,2026-07-06
LAB-USDT-SWAP,long,2026-07-06 09:50:07,2026-07-06 09:50:36,15.694,15.828,31.388562499999992,200.8868,2888.13438628,6.955590465398945,0.0,0.48333333333333334,7,9,6,0,,,0.0,0.866573212692745,8.641999910000001,-1.008755,7.633244910000001,3.7997742559491225,1.1102121200000008,1.9249660999999996,885.25,9,2026-07-06
SLX-USDT-SWAP,long,2026-07-06 11:33:36,2026-07-06 11:35:41,0.2036,0.2047,0.6786666666666666,173.06,2896.782991,5.974213482255288,4.0,2.0833333333333335,2,8,1,0,,,0.0,0.5402750491159125,2.805,-0.3648285,2.4401715,1.4100147347740668,8.74345703,,,11,2026-07-06
SKHYNIX-USDT-SWAP,short,2026-07-06 11:38:01,2026-07-06 11:41:59,1553.05,1543.52,310.61,202.20711,2899.22316251,6.974527266984835,0.0,3.966666666666667,3,10,2,0,,,-0.0,0.6265091272013135,6.282529999999999,-0.7045836199999999,5.577946379999998,2.7585312801315434,11.183628530000002,,,11,2026-07-06
BEAT-USDT-SWAP,long,2026-07-06 12:16:52,2026-07-06 12:32:50,2.7231,2.743,5.446199999999999,0.54462,2904.80110889,0.018748960069356124,0.0,15.966666666666667,1,1,0,0,,,0.0,0.730784767360726,0.0199,-0.00273305,0.01716695,3.1520968748852414,16.76157491,,,12,2026-07-06
SLX-USDT-SWAP,long,2026-07-06 13:15:03,2026-07-06 13:16:40,0.207,0.2079,0.414,202.446,2904.8182758400003,6.969317209402978,0.0,1.6166666666666667,6,10,5,0,,,0.0,0.48309178743961567,4.431,-1.0144455000000001,3.4165545,1.6876374440591566,16.77874186,2.4401715,99.36666666666666,13,2026-07-06
LAB-USDT-SWAP,short,2026-07-06 13:49:15,2026-07-06 13:50:57,16.919,16.858,33.837999999999994,230.0984,2908.23483034,7.9119608086496696,0.0,1.7,3,10,2,0,,,-0.0,0.3664519179620629,4.184,-1.1484,3.0356,1.3192616723975483,20.19529636,7.633244910000001,238.65,13,2026-07-06
LAB-USDT-SWAP,short,2026-07-06 14:14:56,2026-07-06 14:16:34,17.365,17.249,34.73,288.259,2911.27043034,9.90148482929959,0.0,1.6333333333333333,1,13,0,0,,2.6360896034044456,-0.0,0.6795277857759796,9.733,-1.00404,8.72896,3.0281656427032635,23.23089636,3.0356,23.983333333333334,14,2026-07-06
LAB-USDT-SWAP,long,2026-07-06 16:58:04,2026-07-06 16:59:39,15.94,16.026,31.88,255.04,2919.99939034,8.734248398945848,0.0,1.5833333333333333,1,8,0,0,,,0.0,0.5771643663738946,6.959,-1.2786795000000002,5.6803205,2.2272272976787955,31.959856359999996,8.72896,161.5,16,2026-07-06
